Program,Date,Contact,Week of Jan 22,Week of Jan 29,Week of Feb 5,Week of Feb 12,Week of Feb 19,Week of Feb 26,Week of Mar 5,Week of Mar 12,Week of Mar 19,Week of Mar 26,Week of Apr 2,Week of Apr 9,Week of Apr 16,Week of Apr 23,Week of Apr 30,Week of May 7,Week of May 14,Week of May 21,Week of May 28,Week of none recorded Dates
Jummah,Fridays,Kim/Mars,2,5,9 (WS),5,5,5,3,5,5,,7,4,0-Eid,,,,,,,
Mindful Mondays,Mondays,Anna,,2,6,5,cancelled,3,2,,5,8,19,6,2,5,6,,,,,
Weekly Meditation,Mondays,Mary Beth Brooker,,,15-20,12-15,15-20,15-20,,,,,,,,,,,,,,
Soup Salad Soul,Fridays,Anna,,20,20,15,17,23,15,,18,15,16,21,19,22,18,,,,,
Catholic Mass,Sundays,Maureen,10,12,12,10,12,10,10,12,12,10,10,12,10,12,10,,,,,
Shabbat,Fridays,Bruce,,,,,,,,,,,,,,,,,,,,
Ramadan Workshop,2/21,Kim ,,,,,40,,,,,,,,,,,,,,,
Generating Justice and Joy,2/14,Kim ,,,,5,,,3,,,,,,,,,,,,,
Antisemitism w/ Jonah,3/29,Anna,3/29 - 13 people,,,,,,,,,,,,,,,,,,,
Ash Wednesday,,Maureen,,,,,,,,,,,,,,,,,,,,
Eid,4/21,Kim,,,,,,,,,,,,,,25,,,,,,
Unlearning Group,,Anna,,,,15,,,,18,,,,16,,,,,16,,,
CRSL Antisemitism Listening ,,Anna,,,,,,,,,,,,,,,,,,,,
Chai tea and survey,,Kim,,,,,,,,,,,,,,,,,,,,
SCJC Listening Session,,Anna,,,,,,,,,,,,,,,,,,,,8
First Night Seder,,Noam/Maureen,,,,,,,,,,,,,,,,,,,,70
Ramadan Iftars,,Kim,,,,,,,,,25,15,25/20,15/70,25/20,20/25,,,,,,
Taraweeh,,Kim,,,,,,,,,15,30,35,25,20,,,,,,,
Tahajjud,,Kim,,,,,,,,,,,,,14,12,,,,,,
GJJ Gun Violence,,Matilda,,,,,,,,,,,,,,,,,,,,5
Al Nur Spritiual Gatherings,,,,,,,,,,,,6,,,,,,,,,,
Student Memorial Service,,,,,,,,,,,,,,,,,,,,,,50