,Program,,Contact,notes,One-time participants,No. of people registered to attend,Week of Sept 10,Week of Sept 17,Week of Sept 24,Week of Oct 1,Week of Oct 8,Week of Oct 15,Week of Oct 22,Week of Oct 29,Week of Nov 5,Week of Nov 12,Week of Nov 19,Week of Nov 26,Week of Dec 3,Week of Dec 10,Week of Dec 17
Regular Program,Jummah,,Kim,,,,6,6,6,6,6,6,7,6,6,6,4,6,,,
,Mindful Mondays,,Anna,,,,10-15,10-15,10,8,8,6,8,6,8,6,6,6,9,8,5
,Weekly Meditation,,Mary Beth Brooker,,,,,,,,,,,,,,,,,,
,Soup Salad and Soul,,Anna,,,,,,14,18,28,13,12,15,10,10,12,14,10,,
,Catholic Mass,,Maureen,,,,,,,,,,,,,,,,,,
,Unlearning Group,,Anna,once a month,,,,,14,,,,16,,,18,,,,cancelled,
,African Religion,,Kim,every other week,,,,,8,,,,12,,25,8,,,6,11,
,Learn to Meditate,,Maureen,twice a month,,,,,,,,,,,,,,,,,
,Al Nur,,Kim,once a month,,,,15,,,,,15,,,,,12,,,
,Intra Muslim Community,,Kim,twice a month,,,,,,,,,,,,,,,,,
,Halaqa,,Kim,once a semester,,,,,,,,,,,,,,35,,,
,student advisory board,,matilda,once a month,,,,,,,,,,,,,,,,,
One-Time Program,GJJ ,,Matilda,plan a date,15,,,,,,,,,,,,,,,,
,Holy Rosary wuth the Catholic Club,,Maureen,,,,,,,,,,,,,,,,,,
,Antisemitism w/ Jonah,,Anna,,,,,,,,,,,,,,,,,,
,Ash Wednesday,,Maureen,,35(once a year),,,,,,,,,,,,,,,,
,CRSL Antisemitism Listening ,,Anna,,,,,,,,,,,,,,,,,,
,SCJC Listening Session,,Maureen,,8,,,,,,,,,,,,,,,,
,Erev Rosh Hashanah,,Maureen,,,60,,,,,,,,,,,,,,,
,Christian Worship Service,,Matilda,,,,,,,,,,,,,,,,,,
,Yom Kippur,,Maureen,,,20,,,,,,,,,,,,,,,
,Vesper,,Maureen,,,,,,,,,,,,,,,,,,
,Welcome Party,,Matilda,,,,,,,,,,,,,,,,,,
,2023 oriention,,Anna,,100,,,,,,,,,,,,,,,,
,Hearts and Duas,,Kim,,10,,,,,,,,,,,,,,,,
,Staff Memorial Service ,,Maureen,,,,,,,,,,,,,,,,,,
,Jewish Communal Tea,,,6 faculty staff,35,,,,,,,,,,,,,,,,
,Chanukah party,,Bruce,,101,,,,,,,,,,,,,,,,
,Chanukah Candle Lighting ,,bruce,,4-8,,,,,,,,,,,,,,,,
,Chanukah Communal Tea,,Bruce,"10 faculty staff, + President",45,,,,,,,,,,,,,,,,
Happen consistently in a Month,Ramadan Iftars,,Kim,,,,,,,,,,,,,,,,,,
,Taraweeh,,Kim,,,,,,,,,,,,,,,,,,
,Tahajjud,,Kim,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Shabbat,,student -led,15 weekly average,,,,,,,,,,,,,,,,,
10/13,Family Weekend Shabbat ,,,,"20 students, 25 family ",,,,,,,,,,,,,,,,
10/20,Inaugural Shabbat ,,,,"17 students, 3 alumnae",,,,,,,,,,,,,,,,
10/27,,,,,,,,,,,,,,,,,,,,,
11/3,,,,,,,,,,,,,,,,,,,,,
11/10,,,,,,,,,,,,,,,,,,,,,
11/17,Ashkenazi Shabbat,,,,,,,,,,,,,,,,,,,,
12/1,Non Zionist Student Gathering,,,,5,,,,,,,,,,,,,,,,
12/8,Shabbat of Chanukah,,,,,,,,,,,,,,,,,,,,
12/15,,,,,,,,,,,,,,,,,,,,,
,Student org leaership training,,matilda,don't know if happens,,,,,,,,,,,,,,,,,